Starting price is $10.00
On day 1, price is $10.70
On day 2, price is $10.38
On day 3, price is $10.84
On day 4, price is $10.94
On day 5, price is $11.40
On day 6, price is $12.24
On day 7, price is $12.16
On day 8, price is $11.91
On day 9, price is $13.72
On day 10, price is $13.63
On day 11, price is $14.28
On day 12, price is $14.91
On day 13, price is $17.19
On day 14, price is $16.77
On day 15, price is $17.51
On day 16, price is $19.23
On day 17, price is $19.07
On day 18, price is $18.37
On day 19, price is $17.57
On day 20, price is $19.62
On day 21, price is $18.68
On day 22, price is $21.57
On day 23, price is $23.29
On day 24, price is $24.29
On day 25, price is $23.97
On day 26, price is $27.67
On day 27, price is $30.98
On day 28, price is $34.36
On day 29, price is $33.82
On day 30, price is $39.41
On day 31, price is $40.75
On day 32, price is $42.41
On day 33, price is $41.44
On day 34, price is $40.92
On day 35, price is $38.89
On day 36, price is $45.11
On day 37, price is $43.96
On day 38, price is $42.57
On day 39, price is $42.24
On day 40, price is $44.08
On day 41, price is $48.07
On day 42, price is $55.84
On day 43, price is $62.17
On day 44, price is $59.59
On day 45, price is $64.74
On day 46, price is $63.31
On day 47, price is $68.05
On day 48, price is $75.82
On day 49, price is $74.05
On day 50, price is $79.39
On day 51, price is $77.10
On day 52, price is $78.45
On day 53, price is $76.00
On day 54, price is $73.70
On day 55, price is $73.70
On day 56, price is $70.75
On day 57, price is $68.67
On day 58, price is $67.97
On day 59, price is $67.41
On day 60, price is $64.90
On day 61, price is $65.97
On day 62, price is $65.51
On day 63, price is $72.25
On day 64, price is $77.23
On day 65, price is $75.41
On day 66, price is $74.37
On day 67, price is $70.68
On day 68, price is $68.40
On day 69, price is $76.21
On day 70, price is $77.15
On day 71, price is $80.07
On day 72, price is $89.72
On day 73, price is $89.31
On day 74, price is $92.77
On day 75, price is $90.14
On day 76, price is $87.62
On day 77, price is $92.69
On day 78, price is $102.31
